X: 0 | Z: 0
X: 0.378906 | Z: 0.00390625
X: 0.382813 | Z: 0.00390625
X: 0.386719 | Z: 0.00390625
X: 0.390625 | Z: 0.00390625
X: 0.394531 | Z: 0.00390625
X: 0.398438 | Z: 0.00390625
X: 0.402344 | Z: 0.00390625
X: 0.40625 | Z: 0.00390625
X: 0.410156 | Z: 0.00390625
X: 0.414063 | Z: 0.00390625
X: 0.417969 | Z: 0.00390625
X: 0.421875 | Z: 0.00390625
X: 0.425781 | Z: 0.00390625
X: 0.429688 | Z: 0.00390625
X: 0.433594 | Z: 0.00390625
X: 0.4375 | Z: 0.00390625
X: 0.441406 | Z: 0.00390625
X: 0.445313 | Z: 0.00390625
X: 0.449219 | Z: 0.00390625
X: 0.453125 | Z: 0.00390625
X: 0.457031 | Z: 0.00390625
X: 0.460938 | Z: 0.00390625
X: 0.464844 | Z: 0.00390625
X: 0.46875 | Z: 0.00390625
X: 0.472656 | Z: 0.00390625
X: 0.476563 | Z: 0.00390625
X: 0.480469 | Z: 0.00390625
X: 0.484375 | Z: 0.00390625
X: 0.488281 | Z: 0.00390625
X: 0.492188 | Z: 0.00390625
X: 0.496094 | Z: 0.00390625
X: 0.5 | Z: 0.00390625
X: 0.503906 | Z: 0.00390625
X: 0.507813 | Z: 0.00390625
X: 0.511719 | Z: 0.00390625
X: 0.515625 | Z: 0.00390625
X: 0.519531 | Z: 0.00390625
X: 0.523438 | Z: 0.00390625
X: 0.527344 | Z: 0.00390625
X: 0.53125 | Z: 0.00390625
X: 0.535156 | Z: 0.00390625
X: 0.539063 | Z: 0.00390625
X: 0.542969 | Z: 0.00390625
X: 0.546875 | Z: 0.00390625
X: 0.550781 | Z: 0.00390625
X: 0.554688 | Z: 0.00390625
X: 0.558594 | Z: 0.00390625
X: 0.5625 | Z: 0.00390625
X: 0.566406 | Z: 0.00390625
X: 0.570313 | Z: 0.00390625
X: 0.574219 | Z: 0.00390625
X: 0.578125 | Z: 0.00390625
X: 0.582031 | Z: 0.00390625
X: 0.585938 | Z: 0.00390625
X: 0.589844 | Z: 0.00390625
X: 0.59375 | Z: 0.00390625
X: 0.597656 | Z: 0.00390625
X: 0.601563 | Z: 0.00390625
X: 0.605469 | Z: 0.00390625
X: 0.609375 | Z: 0.00390625
X: 0.613281 | Z: 0.00390625
